id,category
5,iPad App
15,iPad
31,Android App
32,iPad
33,iPad
34,Other Google product or service
36,iPad
38,Other Google product or service
40,iPhone
41,iPhone
42,iPad
43,iPad App
46,Other Google product or service
48,iPad
49,None
50,Other Apple product or service
51,None
52,Other Google product or service
54,Other Google product or service
56,iPad App
57,Other Google product or service
58,Other Apple product or service
59,Other Google product or service
62,Other Apple product or service
63,None
66,Other Google product or service
67,None
69,Other App
70,Other Google product or service
73,Other
75,Other Google product or service
78,iPad
81,None
82,Other Apple product or service
83,None
84,None
86,Other Apple product or service
88,iPad
89,Other Google product or service
92,Other
94,Other Google product or service
95,Other Google product or service
98,Other Google product or service
100,Other Google product or service
101,Other
103,Other Apple product or service
105,Other Apple product or service
107,Other Apple product or service
109,Other Apple product or service
114,None
115,iPhone
117,iPad
121,Other Google product or service
122,None
123,Other Google product or service
124,None
125,Other Brand
128,Other Google product or service
129,iPhone
130,iPhone
131,iPhone
132,Other Apple product or service
135,Apple
138,iPad
139,Apple
143,Other Google product or service
144,iPad
145,Other Apple product or service
148,Other Apple product or service
149,Other Google product or service
150,Other Google product or service
152,Other Google product or service
154,Other Google product or service
155,iPad
157,Apple
159,Other Apple product or service
165,None
166,iPhone
168,Other Google product or service
169,Other Google product or service
171,Other Google product or service
174,Other
175,Other Google product or service
176,Apple
177,iPad
178,None
179,iPad
181,iPad
184,Other Apple product or service
185,Other Google product or service
187,iPhone App
190,Other Apple product or service
191,iPhone
192,Other Google product or service
194,None
195,Other
197,Other Google product or service
198,iPad
199,Other Google product or service
200,Other Apple product or service
202,iPad
203,None
205,Other Google product or service
208,iPhone
211,iPhone
212,iPad
214,Other Google product or service
215,Other Google product or service
216,Other Google product or service
217,Other Google product or service
218,iPad
219,Other Apple product or service
220,Other Apple product or service
221,Other Apple Product or Service
222,None
227,iPad
228,Android App
230,Other Apple product or service
231,Other Apple product or service
232,iPad
235,Other Google product or service
236,iPad
237,iPhone
238,iPhone
239,iPhone
241,Android
242,Android App
243,iPad
244,Other Google product or service
245,Other Google product or service
247,Other Google product or service
249,Android App
252,iPhone App
255,Other Apple product or service
256,iPad
261,iPad
263,Other Apple product or service
267,Other Apple product or service
268,Other Apple product or service
271,Other Apple product or service
278,iPad
279,Other Apple product or service
281,Other Apple product or service
282,iPad
284,Other Apple product or service
287,Apple
288,iPad
